Participant,Assembly,Method,Assembly Errors,Picking Errors,Time Restriction,Assembly Time,Mental Demand,Temporal Demand,Performance,Effort,Frusturation,Alpha_AF7,Alpha_AF8,Alpha (AF7+AF8),Alpha_Norm
1,S1,Paper-based,0,2,No,336,3,2,4,3,3,0.03546736,0.00555009,0.020508725,0.264679445
1,S2,SAR,0,0,No,193.8,3,3,5,2,1,0.38424093,0.036630005,0.210435467,0.906796818
1,M1,Paper-based,2,1,No,467.9,3,4,4,3,3,0.161118355,0.011650724,0.086384539,0.66124632
1,M2,SAR,3,2,No,601.8,3,3,4,3,3,0.078475784,0.018726781,0.048601283,0.502626338
1,M3,Paper-based,0,0,Yes,303.5,4,5,3,4,4,0.356992585,0.03286466,0.194928623,0.885686719
1,M4,SAR,1,0,Yes,248,3,4,5,4,2,0.557448634,0.032645785,0.29504721,1
1,H1,Paper-based,5,5,No,1215.9,3,2,5,3,2,0.090020345,0.008618524,0.049319434,0.506671623
1,H2,SAR,5,2,No,1211.5,4,3,5,3,3,0.007782856,0.00792664,0.007854748,0
2,S1,Paper-based,2,1,No,74.4,1,1,5,1,2,,,,
2,S2,SAR,0,0,No,48.3,1,2,5,1,2,,,,
2,M1,SAR,0,0,No,161.9,1,2,5,2,1,,,,
2,M2,Paper-based,0,2,Yes,229.3,2,3,5,2,1,,,,
2,M3,SAR,0,0,Yes,162.3,2,3,5,1,1,,,,
2,M4,Paper-based,0,1,No,244.9,2,1,4,2,3,,,,
2,H1,Paper-based,3,3,No,662.1,4,2,4,4,3,,,,
2,H2,SAR,2,1,No,626,4,2,3,3,5,,,,
3,S1,Paper-based,1,1,No,404.9,1,3,4,2,1,0.358437961,0.007172717,0.182805339,0.467721336
3,S2,SAR,1,1,No,374,2,2,5,2,2,0.595945712,0.012237591,0.304091652,0.732783008
3,M1,Paper-based,0,0,Yes,291.3,3,4,3,3,3,1,0.015891394,0.507945697,1
3,M2,SAR,0,0,Yes,296.5,4,4,4,4,3,0.641045645,0.01380707,0.327426357,0.771291153
3,M3,Paper-based,2,3,No,359.2,3,2,5,3,2,0.542536339,0.008903329,0.275719834,0.681769451
3,M4,SAR,1,2,No,457.3,3,2,5,2,2,0.533434192,0.006528004,0.269981098,0.670814364
3,H1,Paper-based,1,0,No,1822,4,3,5,4,3,0.142899617,0.00614439,0.074522004,0.000353078
3,H2,SAR,1,1,No,1692.7,4,3,5,4,3,0.147917928,0.001025077,0.074471503,0
4,S1,Paper-based,0,0,No,191.6,2,1,4,2,1,0.000733288,0.00658228,0.003657784,0.881585238
4,S2,SAR,0,0,No,153.5,2,1,4,2,1,0.001067842,0.008710481,0.004889162,1
4,M1,SAR,0,0,Yes,282.7,3,5,5,3,1,0.000535254,0.005055408,0.002795331,0.771845163
4,M2,Paper-based,0,0,No,464.6,4,1,4,3,2,0.000207191,0.002032485,0.001119838,0.398531888
4,M3,SAR,0,0,No,255.5,3,1,5,2,1,0.000327063,0.004126769,0.002226916,0.679071353
4,M4,Paper-based,2,3,Yes,264.1,4,4,5,4,1,0.00046052,0.004376762,0.002418641,0.71277531
4,H1,Paper-based,3,4,No,844.2,4,2,4,4,3,0.004875204,0.00110854,0.002991872,0.799574832
4,H2,SAR,2,1,No,696.8,4,2,4,4,3,,0.000843471,0.000421735,0
5,S1,SAR,1,1,No,196.5,4,4,5,5,3,0.001989767,0.192685562,0.097337664,0.397202491
5,S2,Paper-based,1,0,No,156.8,2,5,2,3,4,0.005128827,0.158580374,0.0818546,0.329000887
5,M1,Paper-based,2,5,No,278.5,4,5,5,5,5,0.001326867,0.076643533,0.0389852,0.036984334
5,M2,SAR,0,3,No,197.3,5,5,5,5,3,0.004042658,0.119691013,0.061866835,0.218786315
5,M3,Paper-based,0,2,Yes,187.7,5,5,5,5,3,0.001694907,0.069284085,0.035489496,0
5,M4,SAR,0,2,Yes,179,5,5,5,5,3,0.011370603,0.888744095,0.450057349,1
5,H1,Paper-based,3,4,No,925.7,5,5,3,4,4,0.199980062,0.200070517,0.20002529,0.680753121
5,H2,SAR,3,3,No,609.6,5,5,5,5,5,0.36965597,0.269782678,0.319719324,0.865388619
6,S1,SAR,0,0,No,202.9,2,3,5,3,1,0.013808321,1,0.50690416,1
6,S2,Paper-based,0,1,No,144.7,3,3,4,3,2,0.019503881,0.769979262,0.394741571,0.866401865
6,M1,SAR,0,1,No,333.6,4,3,5,3,3,0.012810112,0.41835753,0.215583821,0.543274869
6,M2,Paper-based,1,1,Yes,296.3,4,5,4,4,4,0.011914973,0.415697346,0.21380616,0.538851711
6,M3,SAR,1,1,Yes,255.1,4,4,5,4,4,0.017468776,0.516499578,0.266984177,0.657507734
6,M4,Paper-based,1,2,No,321,4,4,5,4,2,0.012989373,0.441953872,0.227471622,0.571948364
6,H1,Paper-based,3,3,No,949.1,5,5,5,5,5,0.004626261,0.1513193,0.077972781,0
6,H2,SAR,3,2,No,761.3,5,5,5,5,3,0.005410004,0.172610595,0.089010299,0.070723801
7,S1,SAR,1,1,No,342.7,3,3,3,3,3,0.001117637,0.028600455,0.014859046,0
7,S2,Paper-based,0,1,No,175.8,2,3,4,3,2,0.001327143,0.06205069,0.031688917,0.361644372
7,M1,Paper-based,2,2,Yes,301,3,4,3,4,3,0.052903105,0.035736635,0.04431987,0.521832032
7,M2,SAR,1,1,Yes,304.9,4,4,3,4,3,0.007158483,0.034248009,0.020703246,0.158380556
7,M3,Paper-based,2,3,No,532,3,3,4,3,2,0.125974871,0.019242973,0.072608922,0.757555963
7,M4,SAR,1,1,No,474.9,3,2,4,3,2,0.221997902,0.019283278,0.12064059,1
7,H1,Paper-based,4,5,No,1948,4,3,4,4,4,0.048258649,0.004194503,0.026226576,0.271302895
7,H2,SAR,4,2,No,1195.9,3,3,4,3,2,0.091564808,0.007795389,0.049680098,0.57634971
8,S1,SAR,1,1,No,333,4,4,5,4,5,0.507121301,0.006365011,0.256743156,0.916664813
8,S2,Paper-based,1,1,No,164,1,5,5,1,1,0.638506616,0.02695263,0.332729623,1
8,M1,SAR,0,1,Yes,301,1,5,3,3,1,0.513994843,0.013155173,0.263575008,0.925106463
8,M2,Paper-based,4,3,No,746.8,3,4,4,3,2,0.235811846,0.049596156,0.142704001,0.727880637
8,M3,SAR,1,1,No,460,1,4,5,2,1,0.325871532,0.009240877,0.167556205,0.77948699
8,M4,Paper-based,1,2,Yes,296.9,4,5,5,3,4,0.443182796,0.007496355,0.225339576,0.874726987
8,H1,Paper-based,5,2,No,1590.9,5,3,5,4,5,0.028735566,0.000915505,0.014825536,0
8,H2,SAR,5,3,No,1207,4,4,5,3,5,0.064575199,0.001379814,0.032977506,0.256984879
9,S1,Paper-based,0,1,No,153,5,4,5,3,2,0.006573586,0.401713344,0.204143465,0.949990286
9,S2,SAR,0,0,No,141.9,1,2,5,1,1,0.008673855,0.5426519,0.275662877,1
9,M1,Paper-based,1,2,No,357.9,1,3,5,3,1,0.0043466,0.246968329,0.125657464,0.869193134
9,M2,SAR,0,1,No,276,1,2,5,1,1,5.00E-06,0.002224097,0.001114547,0.08245421
9,M3,Paper-based,1,3,Yes,305.9,2,2,5,3,2,2.30E-05,0.001335535,0.000679249,0
9,M4,SAR,0,1,Yes,251,1,1,5,1,1,0,0.001654191,0.000827096,0.03278967
9,H1,SAR,2,1,No,797,3,2,5,2,3,8.71E-05,0.05160805,0.025847585,0.605896986
9,H2,Paper-based,4,5,No,1298.9,3,1,5,4,3,0.000384398,0.086481811,0.043433105,0.69231214
10,S1,Paper-based,0,1,No,343,1,1,5,1,2,0.019142774,0.004937065,0.012039919,0
10,S2,SAR,0,0,No,229,1,2,5,1,1,0.022923388,0.024896393,0.02390989,0.198680408
10,M1,SAR,1,2,No,739.1,2,2,5,2,2,0.011683437,0.177828686,0.094756062,0.597455808
10,M2,Paper-based,0,0,Yes,301.1,3,3,3,3,3,0.0318031,0.729080723,0.380441911,1
10,M3,SAR,1,1,Yes,298,2,3,4,3,3,0.031685582,0.691774695,0.361730138,0.985394296
10,M4,Paper-based,3,2,No,508,2,2,5,4,2,0.018980601,0.448522284,0.233751443,0.858945775
10,H1,SAR,4,3,No,1274,3,3,4,4,3,0.007075545,0.163881469,0.085478507,0.567615756
10,H2,Paper-based,3,2,No,1462,3,3,4,4,3,0.006582687,0.149606801,0.078094744,0.541453161
11,S1,Paper-based,1,4,No,256.9,2,4,5,5,1,0.001590613,0.009896578,0.005743596,0.981126801
11,S2,SAR,1,0,No,153.5,3,4,5,5,1,0.000730817,0.011384733,0.006057775,1
11,M1,Paper-based,0,4,Yes,,4,4,5,5,1,0.000256417,0.002942895,0.001599656,0.52812499
11,M2,SAR,0,3,Yes,,5,5,5,5,4,0.000881842,0.006632852,0.003757347,0.830738065
11,M3,Paper-based,0,6,No,309.3,3,4,5,5,3,0.000803425,0.007181102,0.003992264,0.85222952
11,M4,SAR,1,3,No,399.2,4,5,5,5,3,0.00055489,0.00280027,0.00167758,0.544980565
11,H1,SAR,3,3,No,1127,5,4,5,5,4,0.000270452,0.001125033,0.000697743,0.234099044
11,H2,Paper-based,3,4,No,953.2,5,5,5,5,3,0.000158961,0.000561872,0.000360417,0
12,S1,Paper-based,1,1,No,194.9,5,3,5,4,5,0.00173987,0.010075894,0.005907882,0.752854089
12,S2,SAR,0,1,No,100.7,1,1,5,2,1,0.00390981,0.023219641,0.013564725,1
12,M1,SAR,0,3,Yes,287.3,2,3,5,2,2,0.001441058,0.008439857,0.004940457,0.699680634
12,M2,Paper-based,3,6,No,262.7,3,4,4,2,4,0.001556361,0.009248359,0.00540236,0.726256444
12,M3,SAR,0,1,No,236.5,2,2,5,1,1,0.002395653,0.011390439,0.006893046,0.798711792
12,M4,Paper-based,1,5,Yes,283.2,4,4,5,3,2,0.002809542,0.013640837,0.008225189,0.851248533
12,H1,SAR,3,2,No,885.2,4,4,5,5,4,0.000422123,0.002713397,0.00156776,0.358389046
12,H2,Paper-based,3,3,No,1481.1,5,2,5,5,4,0.000233501,0.000705897,0.000469699,0
13,S1,SAR,0,0,No,244.3,2,2,5,2,1,0.000178212,0.00996274,0.005070476,0.741867621
13,S2,Paper-based,0,1,No,152.4,3,3,5,2,2,0.000117539,0.021680086,0.010898813,1
13,M1,Paper-based,0,3,No,503.2,3,3,5,3,3,3.74E-05,0.005282295,0.002659847,0.524232906
13,M2,SAR,0,2,No,508.4,3,3,5,3,3,2.80E-05,0.004845804,0.002436919,0.494704926
13,M3,Paper-based,3,4,Yes,299.3,3,3,4,3,3,0.00014776,0.009281321,0.004714541,0.717315591
13,M4,SAR,2,1,Yes,299.2,4,4,3,3,4,0.000314695,0.009626877,0.004970786,0.735169327
13,H1,SAR,3,3,No,1394.1,5,4,5,4,5,4.00E-05,0.001084553,0.00056226,0
13,H2,Paper-based,4,5,No,1406.6,5,5,5,5,5,0.000151178,0.001034381,0.00059278,0.017830981
14,S1,SAR,0,0,No,214.9,2,1,5,2,1,0.001121594,0.008347874,0.004734734,0.94760828
14,S2,Paper-based,0,1,No,199.5,3,2,5,3,2,0.001233215,0.009589676,0.005411446,1
14,M1,SAR,1,0,No,,3,2,4,3,2,0.000699443,0.005114173,0.002906808,0.756275129
14,M2,Paper-based,1,2,Yes,285.8,5,5,3,5,4,0.000763649,0.005785153,0.003274401,0.802975755
14,M3,SAR,1,1,Yes,221,3,3,4,3,2,0.000451333,0.004356333,0.002403833,0.681764331
14,M4,Paper-based,4,2,No,415.5,5,2,4,5,5,0.000306076,0.001699962,0.001003019,0.338978821
14,H1,SAR,0,1,No,712.8,5,3,3,3,3,0.000158691,0.00068651,0.0004226,0
14,H2,Paper-based,4,6,No,1192.5,5,3,2,5,5,,,,
15,S1,SAR,0,0,No,195,2,2,4,3,2,0.005418508,0.013402492,0.0094105,1
15,S2,Paper-based,1,1,No,161.3,2,2,4,3,1,0.002408504,0.006785726,0.004597115,0.614366144
15,M1,Paper-based,0,3,Yes,295.1,4,5,4,4,2,0.001280443,0.00535736,0.003318902,0.438991976
15,M2,SAR,0,2,Yes,262.6,4,5,4,3,2,0.001854515,0.006953151,0.004403833,0.591244366
15,M3,Paper-based,0,2,No,309.4,3,1,4,3,2,0.002784569,0.008008724,0.005396646,0.700681246
15,M4,SAR,0,1,No,307,3,1,4,1,1,0.001626397,0.002150523,0.00188846,0.135461655
15,H1,SAR,2,0,No,826.7,4,2,4,3,2,0.000882431,0.002054191,0.001468311,0
15,H2,Paper-based,4,3,No,898.4,4,4,4,4,3,,,,
16,S1,SAR,0,1,No,98,2,2,3,2,2,0.001750209,0.004862158,0.003306183,1
16,S2,Paper-based,0,2,No,96.4,2,2,3,2,2,0.001331559,0.001595915,0.001463737,0.729277686
16,M1,SAR,0,3,Yes,191.2,3,3,4,3,3,0.000864746,0.000847858,0.000856302,0.551147233
16,M2,Paper-based,1,1,No,264.1,3,3,3,3,3,0.00126188,0.000976554,0.001119217,0.640112463
16,M3,SAR,0,1,No,198.3,3,3,3,3,3,0.001252125,0.001455962,0.001354043,0.703395706
16,M4,Paper-based,0,5,Yes,205.7,3,3,3,3,3,0.000480791,7.79E-05,0.000279369,0.178991291
16,H1,SAR,2,1,No,526.1,4,4,3,4,4,0.000326021,0,0.000163011,0
16,H2,Paper-based,2,4,No,767.9,5,5,3,5,5,,,,
